功能,Relationship,零部件
除霜,isSupportedBy,除霜电热线圈
除霜,isSupportedBy,压缩机
除霜,isSupportedBy,电控板
恒温补偿,isSupportedBy,温度传感器
恒温补偿,isSupportedBy,恒温器
恒温补偿,isSupportedBy,电控板
新风,isSupportedBy,新风机
新风,isSupportedBy,新风风扇
新风,isSupportedBy,电控板
静音,isSupportedBy,风扇电机
静音,isSupportedBy,电控板
静音,isSupportedBy,噪声消减技术
除菌,isSupportedBy,紫外线灯
除菌,isSupportedBy,除菌滤网
除菌,isSupportedBy,电控板
童锁,isSupportedBy,控制面板
童锁,isSupportedBy,儿童锁继电器
童锁,isSupportedBy,电控板
语音,isSupportedBy,语音控制模块
语音,isSupportedBy,控制面板
语音,isSupportedBy,电控板
基本运转,isSupportedBy,控制面板
基本运转,isSupportedBy,电控板
基本运转,isSupportedBy,运行模式继电器
制热运转,isSupportedBy,压缩机
制热运转,isSupportedBy,加热器
制热运转,isSupportedBy,蒸发器
送风运转,isSupportedBy,风扇电机
送风运转,isSupportedBy,风扇叶片
送风运转,isSupportedBy,电控板
除湿运转,isSupportedBy,压缩机
除湿运转,isSupportedBy,蒸发器
除湿运转,isSupportedBy,湿度传感器
制冷运转,isSupportedBy,压缩机
制冷运转,isSupportedBy,冷凝器
制冷运转,isSupportedBy,蒸发器
应急运转,isSupportedBy,电控板
应急运转,isSupportedBy,备用电源
应急运转,isSupportedBy,运行模式继电器
水离子运转,isSupportedBy,水离子发生器
水离子运转,isSupportedBy,电控板
水离子运转,isSupportedBy,运行模式继电器
健康运转,isSupportedBy,净化滤网
健康运转,isSupportedBy,负离子发生器
健康运转,isSupportedBy,电控板
